name,county_name,2014_fraction_above_65,2014_fraction_above_75,2014_fraction_above_85,2014_fraction_above_95,2015_fraction_above_65,2015_fraction_above_75,2015_fraction_above_85,2015_fraction_above_95,2016_fraction_above_65,2016_fraction_above_75,2016_fraction_above_85,2016_fraction_above_95
"A\xf1asco, Puerto Rico",A\xf1asco,0.73,0.59,0.39,0.03,0.77,0.6,0.31,0.02,0.83,0.66,0.41,0.03
"Abbeville, South Carolina",Abbeville,0.28,0.17,0.06,0,0.26,0.13,0.05,0,0.33,0.2,0.08,0
"Acadia, Louisiana",Acadia,0.43,0.25,0.1,0.01,0.37,0.21,0.09,0.01,0.58,0.37,0.16,0.01
"Accomack, Virginia",Accomack,0.24,0.16,0.07,0,0.35,0.24,0.12,0,0.28,0.2,0.09,0
"Ada, Idaho",Ada,0.42,0.36,0.28,0.08,0.29,0.23,0.17,0.07,0.35,0.3,0.21,0.09
"Adair, Iowa",Adair,0.3,0.11,0.03,0,0.06,0.03,0.01,0,0.37,0.14,0.03,0
"Adair, Kentucky",Adair,0.06,0.03,0.01,0,0.38,0.17,0.04,0,0.22,0.09,0.02,0
"Adair, Missouri",Adair,0.31,0.16,0.07,0.01,0.12,0.05,0.02,0,0.13,0.07,0.03,0.01
"Adair, Oklahoma",Adair,0.5,0.28,0.09,0,0.36,0.17,0.05,0,0.26,0.13,0.04,0
"Adams, Colorado",Adams,0.42,0.36,0.28,0.14,0.43,0.37,0.29,0.13,0.41,0.33,0.25,0.11
"Adams, Idaho",Adams,0,0,0,-0.01,0,0,0,-0.01,0.01,0,0,0
"Adams, Illinois",Adams,0.44,0.23,0.11,0.02,0.27,0.15,0.08,0.02,0.29,0.18,0.09,0.02
"Adams, Indiana",Adams,0.98,0.76,0.23,0.03,0.8,0.38,0.1,0.02,0.7,0.31,0.09,0.01
"Adams, Iowa",Adams,0.16,0.05,0.01,0,0.02,0.01,0,0,0.06,0.02,0.01,0
"Adams, Mississippi",Adams,0.19,0.13,0.07,0.01,0.13,0.09,0.05,0.01,0.2,0.14,0.08,0.02
"Adams, Nebraska",Adams,0.34,0.19,0.09,0.02,0.13,0.09,0.05,0.01,0.38,0.22,0.11,0.02
"Adams, North Dakota",Adams,0.02,0.01,0,0,0,0,0,0,0.01,0,0,0
"Adams, Ohio",Adams,0.07,0.04,0.02,0,0.46,0.19,0.05,0,0.24,0.1,0.04,0
"Adams, Pennsylvania",Adams,0.84,0.63,0.25,0.03,0.89,0.7,0.28,0.03,0.92,0.82,0.4,0.04
"Adams, Washington",Adams,0.03,0.01,0,0,0.01,0.01,0,0,0.02,0.01,0,0
"Adams, Wisconsin",Adams,0.43,0.24,0.08,0,0.38,0.17,0.05,0,0.55,0.29,0.08,0
"Addison, Vermont",Addison,0.07,0.04,0.01,0,0.1,0.04,0.01,0,0.06,0.03,0.01,0
"Adjuntas, Puerto Rico",Adjuntas,0.4,0.25,0.09,0,0.33,0.17,0.04,0,0.41,0.26,0.08,0
"Aguada, Puerto Rico",Aguada,0.98,0.97,0.86,0.04,0.98,0.96,0.76,0.01,0.99,0.98,0.92,0.02
"Aguadilla, Puerto Rico",Aguadilla,0.98,0.96,0.86,0.21,0.97,0.94,0.81,0.11,0.99,0.97,0.91,0.21
"Aguas Buenas, Puerto Rico",Aguas Buenas,0.99,0.95,0.68,0.02,1,0.93,0.57,0,1,0.98,0.69,0
"Aibonito, Puerto Rico",Aibonito,0.73,0.57,0.33,0.02,0.61,0.47,0.25,0.01,0.75,0.59,0.35,0.04
"Aiken, South Carolina",Aiken,0.47,0.35,0.2,0.03,0.52,0.38,0.22,0.03,0.61,0.47,0.28,0.04
"Aitkin, Minnesota",Aitkin,0.06,0.03,0.01,0,0.04,0.01,0,0,0.1,0.04,0.01,0
"Alachua, Florida",Alachua,0.35,0.24,0.15,0.03,0.29,0.2,0.14,0.03,0.34,0.24,0.15,0.04
"Alamance, North Carolina",Alamance,0.57,0.4,0.24,0.06,0.92,0.69,0.38,0.08,0.77,0.56,0.3,0.08
"Alameda, California",Alameda,0.66,0.54,0.42,0.23,0.66,0.5,0.4,0.21,0.76,0.65,0.44,0.23
"Alamosa, Colorado",Alamosa,0.05,0.03,0.01,0,0.04,0.02,0.01,0,0.04,0.03,0.01,0
"Albany, New York",Albany,0.63,0.52,0.4,0.16,0.68,0.53,0.41,0.17,0.55,0.44,0.34,0.13
"Albany, Wyoming",Albany,0.02,0.01,0.01,0,0.02,0.01,0,0,0.01,0.01,0,0
"Albemarle, Virginia",Albemarle,0.14,0.09,0.05,0.01,0.38,0.19,0.08,0.02,0.16,0.11,0.06,0.01
"Alcona, Michigan",Alcona,0.05,0.02,0.01,0,0.04,0.02,0,0,0.07,0.03,0,0
"Alcorn, Mississippi",Alcorn,0.52,0.33,0.13,0.01,0.32,0.18,0.09,0.01,0.49,0.32,0.15,0.02
"Aleutians East, Alaska",Aleutians East,0,0,0,-0.01,0,0,0,-0.01,0.07,0,0,-0.01
"Aleutians West, Alaska",Aleutians West,0,0,0,0,0,0,0,0,0.11,0,0,0
"Alexander, Illinois",Alexander,0.35,0.19,0.09,0.01,0.49,0.27,0.12,0.01,0.23,0.14,0.06,0
"Alexander, North Carolina",Alexander,0.43,0.24,0.08,0,0.58,0.33,0.1,0,0.53,0.34,0.13,0
"Alexandria, Virginia",Alexandria,1,1,1,0.97,1,1,1,0.99,1,1,1,0.99
"Alfalfa, Oklahoma",Alfalfa,0.24,0.1,0.04,0,0.1,0.06,0.03,0,0.06,0.04,0.02,0
"Alger, Michigan",Alger,0.05,0.03,0.02,0,0.06,0.03,0.01,0,0.06,0.03,0.02,0
"Allamakee, Iowa",Allamakee,0.26,0.1,0.02,0,0.14,0.04,0.02,0,0.36,0.13,0.02,0
"Allegan, Michigan",Allegan,0.88,0.71,0.32,0.03,0.91,0.69,0.29,0.02,0.81,0.53,0.19,0.02
"Allegany, Maryland",Allegany,0.33,0.24,0.16,0.03,0.45,0.31,0.19,0.03,0.42,0.3,0.2,0.04
"Allegany, New York",Allegany,0.23,0.11,0.04,0,0.2,0.1,0.04,0,0.11,0.06,0.03,0
"Alleghany, North Carolina",Alleghany,0.07,0.04,0.02,0,0.22,0.1,0.04,0,0.12,0.06,0.03,0
"Alleghany, Virginia",Alleghany,0.07,0.04,0.02,0,0.19,0.1,0.05,0,0.09,0.06,0.03,0
"Allegheny, Pennsylvania",Allegheny,1,1,0.95,0.34,1,1,0.98,0.44,1,0.99,0.95,0.41
"Allen, Indiana",Allen,1,0.99,0.81,0.25,0.99,0.92,0.64,0.22,0.94,0.77,0.52,0.17
"Allen, Kansas",Allen,0.13,0.06,0.03,0,0.08,0.05,0.03,0,0.06,0.04,0.02,0
"Allen, Kentucky",Allen,0.14,0.06,0.02,0,0.49,0.16,0.03,0,0.16,0.07,0.02,0
"Allen, Louisiana",Allen,0.1,0.06,0.02,0,0.1,0.05,0.03,0,0.14,0.09,0.03,0
"Allen, Ohio",Allen,1,0.98,0.6,0.11,0.99,0.94,0.46,0.1,0.8,0.52,0.27,0.07
"Allendale, South Carolina",Allendale,0.07,0.04,0.02,0,0.09,0.05,0.03,0,0.1,0.07,0.03,0
"Alpena, Michigan",Alpena,0.16,0.1,0.05,0.01,0.16,0.09,0.04,0.01,0.26,0.13,0.06,0.01
"Alpine, California",Alpine,0,0,0,-0.01,0,0,-0.01,-0.01,0,0,0,-0.01
"Amador, California",Amador,0.06,0.04,0.02,0,0.06,0.04,0.02,0,0.07,0.05,0.03,0
"Amelia, Virginia",Amelia,0.11,0.04,0.01,-0.01,0.32,0.15,0.03,0,0.15,0.06,0.01,0
"Amherst, Virginia",Amherst,0.12,0.08,0.04,0,0.33,0.2,0.11,0.01,0.15,0.11,0.05,0
"Amite, Mississippi",Amite,0.09,0.03,0.01,0,0.06,0.03,0.01,0,0.12,0.06,0.02,0
"Anchorage, Alaska",Anchorage,0.27,0.2,0.14,0.05,0.96,0.51,0.18,0.05,0.87,0.31,0.13,0.05
"Anderson, Kansas",Anderson,0.03,0.02,0.01,0,0.02,0.01,0.01,0,0.02,0.01,0,0
"Anderson, Kentucky",Anderson,0.3,0.17,0.07,0,0.79,0.49,0.14,0.02,0.5,0.29,0.1,0.01
"Anderson, South Carolina",Anderson,0.74,0.56,0.31,0.03,0.71,0.51,0.27,0.02,0.78,0.61,0.34,0.04
"Anderson, Tennessee",Anderson,0.6,0.47,0.27,0.04,0.77,0.69,0.53,0.08,0.67,0.56,0.33,0.05
"Anderson, Texas",Anderson,0.17,0.08,0.04,0,0.11,0.06,0.03,0,0.13,0.07,0.04,0.01
"Andrew, Missouri",Andrew,0.52,0.33,0.14,0,0.2,0.11,0.05,0,0.17,0.09,0.03,0
"Andrews, Texas",Andrews,0.54,0.28,0.11,0.02,0.15,0.09,0.04,0.01,0.12,0.08,0.04,0.01
"Androscoggin, Maine",Androscoggin,0.58,0.39,0.19,0.04,0.66,0.44,0.23,0.03,0.62,0.41,0.2,0.05
"Angelina, Texas",Angelina,0.21,0.14,0.08,0.02,0.17,0.11,0.07,0.01,0.22,0.15,0.09,0.02
"Anne Arundel, Maryland",Anne Arundel,0.98,0.91,0.74,0.27,0.99,0.98,0.85,0.36,0.99,0.98,0.81,0.27
"Anoka, Minnesota",Anoka,1,0.98,0.83,0.25,0.99,0.9,0.62,0.16,1,0.99,0.76,0.21
"Anson, North Carolina",Anson,0.17,0.1,0.04,0,0.17,0.08,0.04,0,0.2,0.11,0.05,0
"Antelope, Nebraska",Antelope,0.05,0.02,0.01,0,0.02,0.01,0,0,0.13,0.04,0.01,0
"Antrim, Michigan",Antrim,0.28,0.13,0.04,0,0.21,0.1,0.04,0,0.32,0.14,0.04,0
"Apache, Arizona",Apache,0.02,0.01,0,0,0.01,0.01,0,0,0.02,0.01,0,0
"Appanoose, Iowa",Appanoose,0.33,0.15,0.05,0,0.08,0.04,0.02,0,0.14,0.07,0.03,0
