"Table 1. Per Capita Personal Income by County, 2012 - 2014",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period2,,
,Dollars,,,Rank in State,Percent change,,Rank in State
,2012,2013,2014,2014,2013,2014,2014
United States,"44,266","44,438","46,049",--,0.4,3.6,--
,,,,,,,
Alabama,"36,036","36,176","37,512",--,0.4,3.7,--
Autauga,"35,106","35,230","36,419",12,0.4,3.4,36
Baldwin,"38,228","37,922","39,040",5,-0.8,2.9,46
Barbour,"28,431","30,428","30,449",52,7.0,0.1,62
Bibb,"27,109","27,450","28,314",64,1.3,3.1,43
Blount,"29,513","29,984","31,464",43,1.6,4.9,4
Bullock,"24,541","26,948","26,934",67,9.8,-0.1,63
Butler,"30,240","31,457","32,954",30,4.0,4.8,6
Calhoun,"32,006","31,571","32,753",31,-1.4,3.7,30
Chambers,"30,047","30,379","31,657",40,1.1,4.2,13
Cherokee,"29,634","30,846","32,034",34,4.1,3.9,25
Chilton,"28,664","28,834","29,941",57,0.6,3.8,27
Choctaw,"28,994","29,505","30,263",53,1.8,2.6,54
Clarke,"29,684","30,588","32,149",33,3.0,5.1,3
Clay,"29,936","30,619","32,028",35,2.3,4.6,10
Cleburne,"29,260","29,988","30,954",47,2.5,3.2,40
Coffee,"36,887","37,919","38,941",6,2.8,2.7,52
Colbert,"32,910","33,419","34,616",22,1.5,3.6,33
Conecuh,"27,846","29,471","30,009",56,5.8,1.8,59
Coosa,"25,765","26,291","27,057",66,2.0,2.9,47
Covington,"30,396","30,630","31,568",42,0.8,3.1,45
Crenshaw,"30,373","33,251","34,461",23,9.5,3.6,32
Cullman,"32,673","34,190","35,548",14,4.6,4.0,23
Dale,"31,727","32,348","33,274",28,2.0,2.9,50
Dallas,"29,772","30,317","31,103",46,1.8,2.6,53
DeKalb,"27,706","28,622","29,724",59,3.3,3.9,26
Elmore,"35,597","35,390","36,528",11,-0.6,3.2,41
Escambia,"29,930","29,546","30,755",50,-1.3,4.1,18
Etowah,"31,875","31,861","33,374",27,0.0,4.7,7
Fayette,"28,530","28,916","29,890",58,1.4,3.4,37
Franklin,"28,543","29,097","30,509",51,1.9,4.9,5
Geneva,"29,677","30,755","31,722",38,3.6,3.1,44
Greene,"29,326","32,592","31,745",37,11.1,-2.6,65
Hale,"32,272","34,241","34,953",21,6.1,2.1,57
Henry,"33,379","34,542","35,273",17,3.5,2.1,56
Houston,"36,566","36,270","37,316",8,-0.8,2.9,48
Jackson,"31,751","32,420","33,550",25,2.1,3.5,35
Jefferson,"47,156","46,631","48,582",1,-1.1,4.2,15
Lamar,"29,000","29,300","30,143",55,1.0,2.9,49
Lauderdale,"32,436","32,574","33,933",24,0.4,4.2,16
Lawrence,"29,297","30,987","31,667",39,5.8,2.2,55
Lee,"31,991","31,852","33,064",29,-0.4,3.8,28
Limestone,"36,853","36,713","37,435",7,-0.4,2.0,58
Lowndes,"33,634","35,608","36,082",13,5.9,1.3,61
Macon,"27,969","29,587","30,828",48,5.8,4.2,14
Madison,"43,558","43,147","44,517",3,-0.9,3.2,42
Marengo,"34,376","35,770","37,235",9,4.1,4.1,17
Marion,"27,086","27,493","28,783",63,1.5,4.7,8
Marshall,"30,452","30,721","31,796",36,0.9,3.5,34
Mobile,"33,267","33,685","35,031",20,1.3,4.0,21
Monroe,"29,306","29,966","30,799",49,2.3,2.8,51
Montgomery,"39,248","39,443","41,008",4,0.5,4.0,24
Morgan,"33,721","34,055","35,188",18,1.0,3.3,39
Perry,"28,208","30,345","29,647",61,7.6,-2.3,64
Pickens,"30,118","31,275","30,233",54,3.8,-3.3,67
Pike,"33,913","33,260","35,125",19,-1.9,5.6,2
Randolph,"28,930","29,897","31,626",41,3.3,5.8,1
Russell,"28,491","28,135","29,080",62,-1.2,3.4,38
St. Clair,"31,472","31,340","32,737",32,-0.4,4.5,11
Shelby,"44,562","44,096","45,879",2,-1.0,4.0,20
Sumter,"28,582","30,698","31,164",45,7.4,1.5,60
Talladega,"29,594","30,090","31,233",44,1.7,3.8,29
Tallapoosa,"33,727","33,786","35,369",16,0.2,4.7,9
Tuscaloosa,"34,248","34,210","35,482",15,-0.1,3.7,31
Walker,"35,715","35,635","37,085",10,-0.2,4.1,19
Washington,"31,743","32,216","33,496",26,1.5,4.0,22
Wilcox,"25,746","28,632","27,815",65,11.2,-2.9,66
Winston,"27,993","28,394","29,657",60,1.4,4.4,12
,,,,,,,
Alaska,"52,269","51,259","54,012",--,-1.9,5.4,--
Aleutians East Borough,"33,000","35,272","36,946",27,6.9,4.7,24
Aleutians West Census Area,"49,244","50,081","53,010",13,1.7,5.8,12
Anchorage Municipality,"59,575","58,001","61,134",5,-2.6,5.4,16
Bethel Census Area,"36,331","35,243","37,075",26,-3.0,5.2,19
Bristol Bay Borough,"52,623","56,600","59,603",6,7.6,5.3,18
Denali Borough,"58,082","57,079","64,631",3,-1.7,13.2,1
Dillingham Census Area,"45,598","46,947","50,212",16,3.0,7.0,7
Fairbanks North Star Borough,"50,997","49,079","51,792",14,-3.8,5.5,15
Haines Borough,"74,754","74,742","78,115",1,0.0,4.5,25
Hoonah-Angoon Census Area,"42,981","45,863","49,585",17,6.7,8.1,4
Juneau City and Borough,"56,162","54,855","57,033",9,-2.3,4.0,26
Kenai Peninsula Borough,"47,731","48,012","50,760",15,0.6,5.7,13
Ketchikan Gateway Borough,"56,342","55,730","57,876",8,-1.1,3.9,27
Kodiak Island Borough,"52,751","50,697","53,792",12,-3.9,6.1,11
Lake and Peninsula Borough,"46,067","44,087","46,787",18,-4.3,6.1,10
Matanuska-Susitna Borough,"42,789","42,683","44,820",21,-0.2,5.0,21
Nome Census Area,"42,088","41,559","44,413",22,-1.3,6.9,9
North Slope Borough,"32,361","32,340","34,061",28,-0.1,5.3,17
Northwest Arctic Borough,"41,740","42,014","44,965",20,0.7,7.0,6
Petersburg Borough,"50,923","55,272","58,426",7,8.5,5.7,14
Prince of Wales-Hyder Census Area,"34,723","35,940","37,684",25,3.5,4.9,23
Sitka City and Borough,"54,986","57,225","61,204",4,4.1,7.0,8
Skagway Municipality,"70,096","74,312","77,937",2,6.0,4.9,22
Southeast Fairbanks Census Area,"37,988","37,692","39,605",24,-0.8,5.1,20
Valdez-Cordova Census Area,"55,072","52,559","56,571",10,-4.6,7.6,5
Wade Hampton Census Area,"27,588","26,491","28,762",29,-4.0,8.6,2
