state,gdp_2014_q1,gdp_2014_q2,gdp_2014_q3,gdp_2014_q4,gdp_2015_q1,gdp_2015_q2,gdp_2015_q3
Connecticut,-1.1,4.2,1.1,-0.4,0.1,4.8,1.6
Maine,-3.2,2.3,3.0,4.4,-10.3,4.2,2.5
Massachusetts,3.9,0.7,5.2,3.6,-1.7,4.0,2.2
New Hampshire,1.7,7.3,1.3,3.5,-8.9,3.8,1.7
Rhode Island,2.6,3.1,2.7,3.8,-3.4,4.0,2.1
Vermont,-4.3,2.1,6.2,3.4,-9.2,3.0,2.1
Delaware,-4.7,9.4,6.5,-4.3,1.5,5.7,1.0
District of Columbia,8.2,-2.6,0.6,0.3,7.2,3.9,1.4
Maryland,-1.4,5.6,2.6,-1.3,2.2,4.6,2.4
New Jersey,-1.9,4.2,2.8,0.7,0.5,4.7,1.5
New York,0.3,3.4,5.9,1.8,-4.0,5.0,0.7
Pennsylvania,0.7,1.4,3.9,2.0,-0.7,4.1,2.5
Illinois,-2.5,3.5,2.8,-0.7,3.5,2.9,1.6
Indiana,0.2,2.4,3.5,2.8,-4.5,3.4,3.7
Michigan,-0.5,4.0,2.6,0.7,-2.8,4.5,2.9
Ohio,-1.4,3.7,6.4,-0.1,-3.6,4.5,2.3
Wisconsin,-4.5,6.6,3.4,1.7,-4.6,3.9,3.1
Iowa,-7.1,11.9,2.9,0.1,-15.6,4.5,6.4
Kansas,-3.8,5.5,5.3,1.4,-4.7,2.8,6.5
Minnesota,-3.2,3.6,6.6,0.5,2.3,4.5,2.9
Missouri,-2.4,3.9,2.1,0.8,-2.5,3.6,2.8
Nebraska,-1.4,10.5,1.4,3.9,-8.5,4.3,5.4
North Dakota,-3.1,18.8,5.0,7.8,-10.4,-1.2,-3.4
South Dakota,-6.7,12.7,1.7,-2.1,-14.8,5.8,9.2
Alabama,-1.4,4.4,6.1,-1.3,2.4,2.2,2.2
Arkansas,-1.2,3.9,2.7,3.7,-2.6,4.0,1.9
Florida,0.1,4.1,4.2,2.8,3.1,5.1,2.0
Georgia,0.0,5.1,5.8,2.0,1.6,3.8,2.0
Kentucky,-2.5,5.6,2.3,3.4,-1.7,3.7,2.3
Louisiana,-2.8,8.1,5.6,1.2,-1.5,2.4,1.6
Mississippi,-3.0,5.0,-0.8,0.9,-1.5,3.6,1.9
North Carolina,0.5,2.7,5.5,3.1,1.2,4.1,2.8
South Carolina,-4.1,9.0,1.6,2.7,-0.5,3.5,2.6
Tennessee,-0.4,5.2,2.5,2.7,-2.2,3.8,2.1
Virginia,-2.8,3.5,1.3,0.9,-1.3,4.3,1.2
West Virginia,-3.5,13.0,6.5,3.5,-7.7,-2.0,-2.0
Arizona,0.5,2.3,4.9,-0.1,1.1,3.2,2.2
New Mexico,-1.6,4.7,6.7,6.0,-8.0,1.2,0.5
Oklahoma,-1.1,4.7,8.8,-1.2,6.5,-2.4,0.1
Texas,1.9,5.8,8.1,2.8,4.8,0.5,0.1
Colorado,2.7,6.6,8.1,6.9,1.3,3.2,2.4
Idaho,-3.8,3.4,4.6,6.8,-2.4,4.9,3.9
Montana,-3.3,7.1,3.4,1.0,10.1,3.2,3.5
Utah,3.1,2.1,4.6,4.6,3.8,5.2,2.9
Wyoming,-0.7,9.2,8.1,10.5,-6.1,-2.3,0.3
Alaska,-2.6,0.3,-0.3,7.6,5.2,0.4,-1.2
California,-6.1,3.6,5.4,0.6,6.8,4.4,2.1
Hawaii,-1.3,1.8,1.2,-1.2,3.4,5.1,3.8
Nevada,2.2,3.4,5.6,5.8,-0.3,5.5,0.7
Oregon,-2.5,5.8,8.0,0.8,6.5,3.9,2.2
Washington,3.1,5.3,2.8,4.9,1.6,8.0,0.8
